iteration,epoch,accuracy,loss,val_accuracy,val_loss
1,1,0.3552,7.0491,0.0395,14.2606
1,2,0.5519,1.3103,0.3553,1.6776
1,3,0.6354,1.0927,0.7368,0.9421
1,4,0.6599,0.9374,0.7544,0.7535
1,5,0.7159,0.8470,0.6579,1.2218
1,6,0.6867,0.8972,0.7675,0.7623
1,7,0.7230,0.7995,0.7544,0.5784
1,8,0.7086,0.7921,0.6974,0.7099
1,9,0.7577,0.6468,0.8202,0.5636
1,10,0.7656,0.6795,0.7763,0.6142
1,11,0.7817,0.5999,0.7719,0.5825
1,12,0.7445,0.7775,0.5877,1.0843
1,13,0.7353,0.6975,0.7632,0.5575
1,14,0.8030,0.5330,0.7895,0.4986
1,15,0.8102,0.5694,0.8026,0.5828
2,1,0.3826,5.5427,0.2632,4.9862
2,2,0.4892,1.9790,0.5570,1.6066
2,3,0.6167,1.1370,0.6754,1.0266
2,4,0.6638,0.9675,0.5395,1.2448
2,5,0.6873,0.8682,0.4430,1.4638
2,6,0.6696,1.0050,0.7193,0.7126
2,7,0.7370,0.7047,0.7675,0.6899
2,8,0.7380,0.7127,0.8114,0.4965
2,9,0.7320,0.7440,0.6667,0.8413
2,10,0.7415,0.8225,0.6009,1.0102
2,11,0.7206,0.8529,0.6184,1.1878
2,12,0.7895,0.6126,0.8377,0.4192
2,13,0.8313,0.4920,0.8596,0.4524
2,14,0.8331,0.4654,0.8026,0.5591
2,15,0.8331,0.4987,0.5614,2.0671
3,1,0.3756,6.6372,0.3509,5.1378
3,2,0.5800,1.3936,0.7456,0.6606
3,3,0.7054,0.8967,0.7544,0.8519
3,4,0.6802,1.0134,0.7281,0.8417
3,5,0.7349,0.8361,0.7193,0.7970
3,6,0.7246,0.7295,0.7368,0.6447
3,7,0.7398,0.7127,0.8026,0.5376
3,8,0.7412,0.6703,0.7807,0.5756
3,9,0.7495,0.7918,0.7763,0.5360
3,10,0.7785,0.5993,0.8158,0.5264
3,11,0.8043,0.5169,0.7544,0.6410
3,12,0.7993,0.5804,0.7588,0.7007
3,13,0.7727,0.6184,0.6579,0.9160
3,14,0.7990,0.5893,0.8509,0.4306
3,15,0.8079,0.5815,0.7193,0.8009
