epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,learning_rate
1,4.0784,0.1607,2.4317,0.2557,0.0010
2,3.0433,0.2084,2.0865,0.3256,0.0010
3,2.8888,0.2475,1.9148,0.3605,0.0010
4,2.4888,0.2770,1.7608,0.4128,0.0010
5,2.5638,0.2748,1.6139,0.4360,0.0010
6,2.4370,0.2968,1.7476,0.3837,0.0010
7,2.3401,0.3176,1.4556,0.4884,0.0010
8,2.3083,0.3252,1.4508,0.5465,0.0010
9,2.0398,0.3496,1.5687,0.5116,0.0010
10,2.1746,0.3689,1.3784,0.5174,0.0010
